epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
79,3210.73,0.82997,0.60286,1.23895,0.98014,0.95255,0.9869,0.74185,0.88485,0.47755,1.29531,0.0004556,0.0004556,0.0004556
80,3251.33,0.83231,0.60586,1.23605,0.97444,0.95753,0.99079,0.74778,0.89954,0.45928,1.28502,0.0004358,0.0004358,0.0004358
81,3291.71,0.8432,0.60401,1.24236,0.99059,0.94981,0.98708,0.72831,0.96167,0.48055,1.33969,0.000416,0.000416,0.000416
82,3332.28,0.83974,0.60451,1.24651,0.97995,0.94347,0.98795,0.74544,0.89991,0.47188,1.27756,0.0003962,0.0003962,0.0003962
83,3372.84,0.84243,0.60382,1.24124,0.99593,0.94439,0.99001,0.75191,0.86344,0.44484,1.2514,0.0003764,0.0003764,0.0003764
84,3413.42,0.83167,0.59229,1.2318,0.96109,0.95375,0.98579,0.72776,0.95728,0.48494,1.33186,0.0003566,0.0003566,0.0003566
85,3453.88,0.82607,0.5845,1.23482,0.98775,0.93414,0.98847,0.74481,0.90796,0.47678,1.29259,0.0003368,0.0003368,0.0003368
86,3494.48,0.83342,0.60128,1.24083,0.97621,0.95075,0.99059,0.74346,0.91119,0.4633,1.29809,0.000317,0.000317,0.000317
87,3534.89,0.81222,0.5946,1.22451,0.96118,0.97297,0.98915,0.74885,0.87814,0.44542,1.26802,0.0002972,0.0002972,0.0002972
88,3575.58,0.81478,0.5764,1.23291,0.98303,0.94981,0.98943,0.74941,0.87218,0.44208,1.27216,0.0002774,0.0002774,0.0002774
89,3615.98,0.82424,0.58536,1.23619,0.9604,0.96911,0.99029,0.75518,0.87207,0.44507,1.26062,0.0002576,0.0002576,0.0002576
90,3656.57,0.82381,0.58203,1.23023,0.98802,0.95534,0.9888,0.75578,0.87591,0.4505,1.25248,0.0002378,0.0002378,0.0002378
91,3699.08,0.79392,0.48116,1.25177,0.96516,0.96266,0.98918,0.75342,0.88694,0.45223,1.25879,0.000218,0.000218,0.000218
92,3739.62,0.79815,0.46234,1.24606,0.97634,0.95613,0.98875,0.74781,0.84892,0.43811,1.24007,0.0001982,0.0001982,0.0001982
93,3779.93,0.78854,0.45901,1.24452,0.96883,0.95994,0.98885,0.7503,0.90448,0.46241,1.27571,0.0001784,0.0001784,0.0001784
94,3820.62,0.76318,0.44832,1.22346,0.98813,0.96429,0.98929,0.75691,0.85036,0.43623,1.22973,0.0001586,0.0001586,0.0001586
95,3861.21,0.75994,0.44701,1.21993,0.9843,0.96832,0.99002,0.76044,0.85843,0.44281,1.23025,0.0001388,0.0001388,0.0001388
96,3901.62,0.76539,0.44504,1.21658,0.96905,0.96712,0.98945,0.76115,0.85363,0.43246,1.22966,0.000119,0.000119,0.000119
97,3942.19,0.76341,0.44193,1.21645,0.98037,0.96421,0.99041,0.75896,0.86807,0.44065,1.24632,9.92e-05,9.92e-05,9.92e-05
98,3982.63,0.75697,0.43982,1.21351,0.97664,0.9684,0.98974,0.75978,0.83579,0.425,1.22618,7.94e-05,7.94e-05,7.94e-05
99,4022.98,0.75062,0.43865,1.21144,0.98112,0.96911,0.99018,0.76349,0.83863,0.42736,1.22298,5.96e-05,5.96e-05,5.96e-05
100,4063.56,0.73968,0.43412,1.19831,0.98052,0.97165,0.99011,0.76149,0.84491,0.43056,1.22771,3.98e-05,3.98e-05,3.98e-05
